Algorithm,InputType,Size,ExecutionTimeNs,MaxRecursionDepth,Comparisons,SwapsOrAllocations
MergeSort,Random,100,505000,4,990,1112
QuickSort,Random,100,653100,5,647,321
DeterministicSelect,Random,100,11773100,6,421,187
ClosestPair,Random,100,49335600,7,1164,200
MergeSort,Sorted,100,19900,4,99,192
QuickSort,Sorted,100,519900,5,631,98
DeterministicSelect,Sorted,100,299000,5,375,159
MergeSort,Reverse-Sorted,100,100400,4,1031,1368
QuickSort,Reverse-Sorted,100,135500,5,720,318
DeterministicSelect,Reverse-Sorted,100,151800,7,383,169
MergeSort,Duplicate-Heavy,100,439700,4,881,1021
QuickSort,Duplicate-Heavy,100,217900,3,1252,224
DeterministicSelect,Duplicate-Heavy,100,316300,15,502,195
MergeSort,Random,1000,2695600,8,16266,17560
QuickSort,Random,1000,1273000,7,11539,5856
DeterministicSelect,Random,1000,5787500,10,4712,1841
ClosestPair,Random,1000,56746000,10,18996,2000
MergeSort,Sorted,1000,50100,8,999,1896
QuickSort,Sorted,1000,340000,7,10713,994
DeterministicSelect,Sorted,1000,384500,9,4162,1755
MergeSort,Reverse-Sorted,1000,688300,8,14803,19936
QuickSort,Reverse-Sorted,1000,274000,7,11299,4910
DeterministicSelect,Reverse-Sorted,1000,435700,9,4675,1854
MergeSort,Duplicate-Heavy,1000,824200,8,15351,17081
QuickSort,Duplicate-Heavy,1000,5864100,3,101920,2522
DeterministicSelect,Duplicate-Heavy,1000,12751100,140,113117,30060
MergeSort,Random,5000,2574200,10,104083,110539
QuickSort,Random,5000,2951600,9,72847,34662
DeterministicSelect,Random,5000,1495300,12,24239,9221
ClosestPair,Random,5000,73509200,12,116471,10000
MergeSort,Sorted,5000,108800,10,4999,9488
QuickSort,Sorted,5000,1499600,8,71912,4976
DeterministicSelect,Sorted,5000,1165100,12,21424,8821
MergeSort,Reverse-Sorted,5000,1907400,10,89835,121448
QuickSort,Reverse-Sorted,5000,1488200,9,67132,27416
DeterministicSelect,Reverse-Sorted,5000,1508800,12,24164,9302
MergeSort,Duplicate-Heavy,5000,1808500,10,98447,108247
QuickSort,Duplicate-Heavy,5000,50304900,4,2508684,10918
DeterministicSelect,Duplicate-Heavy,5000,618830300,563,17821433,4764549
MergeSort,Random,10000,4463000,11,228106,240953
QuickSort,Random,10000,1471600,10,143023,70239
DeterministicSelect,Random,10000,932200,13,49638,18815
ClosestPair,Random,10000,60644600,13,253038,20000
MergeSort,Sorted,10000,1206500,11,9999,18976
QuickSort,Sorted,10000,640400,9,146198,10046
DeterministicSelect,Sorted,10000,351500,13,45152,18471
MergeSort,Reverse-Sorted,10000,5367300,11,194671,262896
QuickSort,Reverse-Sorted,10000,1093900,9,160540,67576
DeterministicSelect,Reverse-Sorted,10000,3649800,13,50134,19088
MergeSort,Duplicate-Heavy,10000,4839200,11,216015,236413
QuickSort,Duplicate-Heavy,10000,19987800,4,10029816,19948
DeterministicSelect,Duplicate-Heavy,10000,3562246100,1146,323347516,78525990
MergeSort,Random,20000,3846600,12,496018,521812
QuickSort,Random,20000,3765300,10,322787,153298
DeterministicSelect,Random,20000,1712300,14,97170,36695
ClosestPair,Random,20000,81376400,14,546111,40000
MergeSort,Sorted,20000,176200,12,19999,37952
QuickSort,Sorted,20000,1879600,11,326892,19960
DeterministicSelect,Sorted,20000,1105500,13,93056,37811
MergeSort,Reverse-Sorted,20000,1979500,12,419343,565792
QuickSort,Reverse-Sorted,20000,2171500,10,381873,144046
DeterministicSelect,Reverse-Sorted,20000,1099100,15,100300,37986
MergeSort,Duplicate-Heavy,20000,1618600,12,469828,512972
QuickSort,Duplicate-Heavy,20000,69708700,4,40035708,51657
DeterministicSelect,Duplicate-Heavy,20000,58093151300,2295,6704747612,1727504241
